name,address
Senna siamea ,Ikengeta
Persea americana ,Ikoloviu
Tithonia diversifolia ,Ilaa
Solanecio mannii,Ilangala
Grewia bicolor,Ilawa
Capparis sepiaria,Itandamboo
Acacia drepanolobium,Iunga (plural)
Hyphaene compressa,Jlala
Sesamothamnus busseanus,Kalamba
Strychnos spinosa,Kiae
Flacourtia indica,Kiathani
Garcinia livingstonei,Kikaanga kanywa
Faurea saligna,Kikaati
Dobera glabra,Kikaitha
Grewia bicolo,Kikalawa
Dovyalis caffra,Kikambua
Flacourtia indica,Kikathani
Carissa spinarum,Kikawa
Faurea saligna,Kikethuki
Strychnos madagascariensis,Kikolakolania
Acacia senegal,Kikole
Lannea alata,Kikolya (Makueni)
Vangueria madagascariensis,Kikomoa
Grewia mollis,Kikumi
Erythrina burtii,Kikunguu
Tamarindus indica,Kikwasu (Makueni)
Uvaria scheffleri,Kilali
Saba comorensis,Kilia (Makueni)
Commiphora eminii,Kiliva
Balanites glabra,Kilului
Strychnos spinosa,Kimee
Acacia kirkii,Kimwea
Acacia xanthophloea,Kimweya
Manilkara mochisia,Kinako (Kibwezi)
Acacia senegal,King'ola (Mwingi)
Acacia senegal,King'ole (Machakos)
Acacia senegal,King'olola
Boswellia neglecta,Kinondo
Acacia hockii,Kinyua
Saba comorensis,Kiongoa
Landolphia buchananii,Kiongoa (Makueni)
Saba comorensis,Kiongwa (Kitui)
Ficus ingens,Kionywe
Ficus glumosa,Kionywe
Manilkara mochisia,Kisaa (Mwala)
Berchemia discolor,Kisaaya (Makueni)
Berchemia discolor,Kisanawa (Kitui)
Acacia nilotica,Kisewa
Acacia seyal,Kisewa (Machakos)
Dobera glabra,Kisiu
Dobera loranthifolia,Kisiu
Sterculia africana,Kisya
Albizia gummifera,Kisya
Rubus pinnatus,Kitae
Morus alba,Kitae
Caesalpinia decapetala,Kitandamboo
Milicia excelsa,Kitangure
Clerodendrum myricoides,Kiteangwai
Antidesma venosum,Kitelanthia
Lannea rivae,Kithaala
Lannea triphylla,Kithaala
Lannea triphylla,Kithaalwa
Lannea rivae,Kithaalwa kya kiima
Lannea schimperi,Kithauna (Kitui)
Osyris lanceolata,Kithawa
Cordia sinensis            ,Kithea             
Cordia monoica,Kithei
Ozoroa insignis,Kithembathembe
Maytenus senegalensis,Kithethuki 
Rhus tenuinervis,Kitheu
Rhus vulgaris,Kitheu
Cordia sinensis,Kithia
Clausena anisata,Kithiw'a
Dodonaea viscosa,Kithongoi
Lannea schimperi,Kithoona
Euphorbia candelabrum,Kithu
Tamarindus indica,Kithumula
Lawsonia inermis,Kitiliku
Antidesma venosum,Kitolanthia (Makueni)
Ziziphus mucronata,Kitolosuu (Kitui)
Ziziphus abyssinica,Kitolosuu (Kitui)
Meyna tetraphylla,Kitolousuu
Annona senegalensis,Kitomoko
Annona cherimola,Kitomoko
Meyna tetraphylla,Kitotoo
Scutia myrtina,Kitumbuu
Kitunda,Kitunda
Croton macrostachyus,Kitundu
Commiphora africana,Kitungu
Lannea alata,Kitungu (Mwingi)
Thylachium thomasii,Kitungulu
Ficus thonningii,Kiumo
Albizia amara,Kiundua
Acacia drepanolobium,Kiunga
Sterculia africana ,Kiusya
Capparis tomentosa,Kiuuka
Terminalia kilimandscharica,Kiuuku
Acokanthera schimperi,Kivai
Psidium guajava ,Kivela 
Rhoicissus tridentata ,Kivosyanguguu 
Acacia polyacantha ,Kivovoa 
Syzygium guineense,Kivuena
Syzygium cordatum,Kivuini
Maytenus senegalensis ,Kivundangiti 
Ricinus communis,Kivunu
Balanites wilsoniana,Kivuw'a (Kitui)
Euphorbia candelabrum ,Kyaa 
Strychnos spinosa ,Kyae (Kitui) 
Ricinus communis,Kyaiki
Jatropha curcas,Kyaiki kya kyeni
Manihot glaziovii,Kyanga
Cassia abbreviata ,Kyathandathe
Saba comorensis ,Kyongoa (Kitui)
Markhamia lutea ,Kyoo
Plectranthus barbatus,Kyooya
Tetradenia riparia,Kyooya kyovai
Albizia anthelmintica,Kyowa
Plectranthus barbatus,Kyoya
Lannea schweinfarthii,Kyuasi
Albizia amara,Kyundua
Sterculia africana,Kyusya
Mangifera indica ,Maembe (fruit)
Carissa edulis,Makueni (Machakos)
Annona senegalensis ,Makulo
Ficus sycomorus ,Makuyu (fruit) 
Cussonia holstii ,Malendi
Cussonia arborea,Malendi
Strychnos spinosa ,Mamee (fruit)
Landolphia buchananii ,Maongoa (fruit)
Annona senegalensis ,Matomoko (fruit)
Thespesia garckeana ,Matoo (fruit)
Carissa spinarum ,Matote (fruit) 
Sclerocarya birrea,Maua (fruit) 
Ficus thonningii ,Maumo (fruit)
Sclerocarya birrea ,Mauw'a (fruit)
Pappea capensis ,Mba (fruit)
Hyphaene compressa,Mbitini (Kitui)
Grewia villosa,Mbu (fruit)
Saba comorensis,"Mongoa (fruit, Kitui)"
Solanecio mannii,Mooa
Acacia tortilis,Muaa
Ziziphus mucronata ,Muae
Ziziphus abyssinica,Muae
Cassia abbreviata ,Mualandathe
Combretum molle,Muama
Adansonia digitata ,Muamba 
Delonix elata ,Muange
Arundinaria alpina ,Muangi
Lannea schweinfarthii ,Muasi
Cassia abbreviata ,Muathandathe
Kigelia africana ,Muatine (tree/fruit)
Ormocarpum trachycarpum,Muema nzou
Ormocarpum kirkii,Muema nzou
Mangifera indica,Muembe
Premna resinosa,Mukaakaa
Premna chrysoclada,Mukaakaa
Faurea saligna ,Mukaati
Crotalaria goodiiformis,Mukai
Antidesma venosum,Mukala (Kitui)
Nuxia congesta,Mukalaliki
Dovyalis abyssinica,Mukambua
Newtonia hildebrandtii,Mukame 
Garcinia livingstonei,Mukanga
Garcinia livingstonei,Mukanga kanywa
,
Zanthoxylum chalybeum,Mukanu
Zanthoxylum chalybeum,Mukanu (Kitui)
Melia volkensii,Mukau
,
Kedrostis pseudogijef,Mukauw'u
,
